"microarray"	"rnaseq"	"flag"
"Os01g0146200"	"Os01g0146200"	1
"Os01g0146600"	"Os01g0146600"	1
"Os01g0146700"	NA	3
"Os01g0147200"	"Os01g0147200"	1
"Os01g0147300"	"Os01g0147300"	1
"Os01g0147400"	"Os01g0147400"	1
"Os01g0147700"	"Os01g0147700"	1
"Os01g0147800"	"Os01g0147800"	1
"Os01g0147900"	"Os01g0147900"	1
"Os01g0148000"	"Os01g0148050"	2
"Os01g0148100"	"Os01g0148100"	1
"Os01g0148200"	"Os01g0148200"	1
"Os01g0148400"	"Os01g0148400"	1
"Os01g0148500"	"Os01g0148500"	1
"Os01g0148700"	"Os01g0148700"	1
"Os01g0149200"	"Os01g0149200"	1
"Os01g0149400"	"Os01g0149400"	1
"Os01g0149500"	"Os01g0149500"	1
"Os01g0149600"	"Os01g0149600"	1
"Os01g0149700"	"Os01g0149750"	2
"Os01g0149800"	"Os01g0149800"	1
"Os01g0149900"	"Os01g0149900"	1
"Os01g0150000"	"Os01g0150000"	1
"Os01g0150100"	"Os01g0150100"	1
"Os01g0150200"	"Os01g0150200"	1
"Os01g0150400"	NA	3
"Os01g0150500"	NA	3
"Os01g0150700"	"Os11g0112650"	2
"Os01g0150800"	"Os01g0150800"	1
"Os01g0150900"	"Os01g0150900"	1
"Os01g0151100"	"Os01g0151100"	1
"Os01g0151200"	"Os01g0151200"	1
"Os01g0151400"	"Os01g0151400"	1
"Os01g0151500"	NA	3
"Os01g0151600"	"Os01g0151600"	1
"Os01g0151700"	"Os01g0151700"	1
"Os01g0151900"	"Os01g0151900"	1
"Os01g0152000"	"Os01g0152000"	1
"Os01g0152300"	"Os01g0152300"	1
"Os01g0152500"	"Os01g0152500"	1
"Os01g0152600"	NA	3
"Os01g0152700"	"Os01g0152700"	1
"Os01g0152800"	"Os01g0152800"	1
"Os01g0152900"	"Os01g0152900"	1
"Os01g0153000"	"Os01g0153000"	1
"Os01g0153100"	"Os01g0153100"	1
"Os01g0153200"	"Os01g0153150"	2
"Os01g0153300"	"Os01g0153300"	1
"Os01g0153400"	"Os01g0153400"	1
"Os01g0153500"	"Os01g0153500"	1
"Os01g0153700"	"Os01g0153700"	1
"Os01g0153800"	"Os01g0153800"	1
"Os01g0154000"	"Os01g0154000"	1
"Os01g0154300"	NA	3
"Os01g0154500"	"Os01g0154500"	1
"Os01g0154600"	"Os01g0154600"	1
"Os01g0154900"	"Os01g0154950"	2
"Os01g0155000"	"Os01g0155000"	1
"Os01g0155400"	"Os01g0155400"	1
"Os01g0155500"	"Os01g0155500"	1
"Os01g0155600"	"Os01g0155600"	1
"Os01g0155700"	"Os09g0363200"	2
"Os01g0155800"	"Os01g0155800"	1
"Os01g0156000"	"Os01g0156000"	1
"Os01g0156300"	"Os01g0156300"	1
"Os01g0156600"	"Os11g0112650"	2
"Os01g0157200"	"Os01g0157200"	1
"Os01g0157500"	NA	3
"Os01g0157600"	"Os01g0157600"	1
"Os01g0157800"	"Os01g0157800"	1
"Os01g0157900"	"Os01g0157900"	1
"Os01g0158000"	"Os01g0158000"	1
"Os01g0158200"	"Os01g0158200"	1
