pos,lib.grp,name,index
M15,OsTM0_5,T103,63
O15,OsTM0_5,T104,64
A17,OsTM0_5,T105,65
C17,OsTM0_5,T106,66
E17,OsTM0_5,T107,67
G17,OsTM0_5,T108,68
I17,OsTM0_5,T109,69
K17,OsTM0_5,T110,70
M17,OsTM0_5,T111,71
O17,OsTM0_5,T112,72
A19,OsTM0_5,T113,73
C19,OsTM0_5,T114,74
E19,OsTM0_5,T115,75
G19,OsTM0_5,T116,76
I19,OsTM0_5,T117,77
K19,OsTM0_5,T118,78
M19,OsTM0_5,T119,79
O19,OsTM0_5,T120,80
A21,OsTM0_5,T121,81
C21,OsTM0_5,T122,82
E21,OsTM0_5,T123,83
G21,OsTM0_5,T124,84
I21,OsTM0_5,T125,85
K21,OsTM0_5,T126,86
M21,OsTM0_5,T127,87
O21,OsTM0_5,T128,88
A4,OsTM0_5,T129,109
C4,OsTM0_5,T130,110
E4,OsTM0_5,T131,111
G4,OsTM0_5,T132,112
I4,OsTM0_5,T133,113
K4,OsTM0_5,T134,114
M4,OsTM0_5,T135,115
O4,OsTM0_5,T136,116
A6,OsTM0_5,T137,117
C6,OsTM0_5,T138,118
E6,OsTM0_5,T139,119
G6,OsTM0_5,T140,120
I6,OsTM0_5,T141,121
K6,OsTM0_5,T142,122
M6,OsTM0_5,T143,123
O6,OsTM0_5,T144,124
A8,OsTM0_5,T145,125
C8,OsTM0_5,T146,126
E8,OsTM0_5,T147,127
G8,OsTM0_5,T148,128
I8,OsTM0_5,T149,129
K8,OsTM0_5,T150,130
M8,OsTM0_5,T151,131
O8,OsTM0_5,T152,132
A10,OsTM0_5,T153,133
C10,OsTM0_5,T154,134
E10,OsTM0_5,T155,135
G10,OsTM0_5,T156,136
I10,OsTM0_5,T157,137
K10,OsTM0_5,T158,138
M10,OsTM0_5,T159,139
O10,OsTM0_5,T160,140
A12,OsTM0_5,T161,141
C12,OsTM0_5,T162,142
E12,OsTM0_5,T163,143
G12,OsTM0_5,T164,144
I12,OsTM0_5,T165,145
K12,OsTM0_5,T166,146
M12,OsTM0_5,T167,147
O12,OsTM0_5,T168,148
A14,OsTM0_5,T169,149
C14,OsTM0_5,T170,150
E14,OsTM0_5,T171,151
G14,OsTM0_5,T172,152
I14,OsTM0_5,T173,153
K14,OsTM0_5,T174,154
M14,OsTM0_5,T175,155
O14,OsTM0_5,T176,156
A16,OsTM0_5,T177,157
C16,OsTM0_5,T178,158
E16,OsTM0_5,T179,159
G16,OsTM0_5,T180,160
I16,OsTM0_5,T181,161
K16,OsTM0_5,T182,162
M16,OsTM0_5,T183,163
O16,OsTM0_5,T184,164
A18,OsTM0_5,T185,165
C18,OsTM0_5,T186,166
E18,OsTM0_5,T187,167
G18,OsTM0_5,T188,168
I18,OsTM0_5,T189,169
K18,OsTM0_5,T190,170
M18,OsTM0_5,T191,171
O18,OsTM0_5,T192,172
A20,OsTM0_5,T193,173
C20,OsTM0_5,T194,174
E20,OsTM0_5,T195,175
G20,OsTM0_5,T196,176
I20,OsTM0_5,T197,177
K20,OsTM0_5,T198,178
M20,OsTM0_5,T199,179
O20,OsTM0_5,T200,180
A22,OsTM0_5,T201,181
C22,OsTM0_5,T202,182
E22,OsTM0_5,T203,183
G22,OsTM0_5,T204,184
I22,OsTM0_5,T205,185
K22,OsTM0_5,T206,186
M22,OsTM0_5,T207,187
O22,OsTM0_5,T208,188
A3,OsTM0_6,T209,9
C3,OsTM0_6,T210,10
E3,OsTM0_6,T211,11
G3,OsTM0_6,T212,12
I3,OsTM0_6,T213,13
K3,OsTM0_6,T214,14
M3,OsTM0_6,T215,15
O3,OsTM0_6,T216,16
A5,OsTM0_6,T217,17
C5,OsTM0_6,T218,18
E5,OsTM0_6,T219,19
G5,OsTM0_6,T220,20
I5,OsTM0_6,T221,21
K5,OsTM0_6,T222,22
M5,OsTM0_6,T223,23
O5,OsTM0_6,T224,24
A7,OsTM0_6,T225,25
C7,OsTM0_6,T226,26
E7,OsTM0_6,T227,27
G7,OsTM0_6,T228,28
I7,OsTM0_6,T229,29
K7,OsTM0_6,T230,30
M7,OsTM0_6,T231,31
O7,OsTM0_6,T232,32
A9,OsTM0_6,T233,33
C9,OsTM0_6,T234,34
E9,OsTM0_6,T235,35
G9,OsTM0_6,T236,36
I9,OsTM0_6,T237,37
K9,OsTM0_6,T238,38
M9,OsTM0_6,T239,39
O9,OsTM0_6,T240,40
A11,OsTM0_6,T241,41
C11,OsTM0_6,T242,42
E11,OsTM0_6,T243,43
G11,OsTM0_6,T244,44
I11,OsTM0_6,T245,45
K11,OsTM0_6,T246,46
M11,OsTM0_6,T247,47
O11,OsTM0_6,T248,48
A13,OsTM0_6,T249,49
C13,OsTM0_6,T250,100
E13,OsTM0_6,T251,51
G13,OsTM0_6,T252,52
I13,OsTM0_6,T253,53
K13,OsTM0_6,T254,54
M13,OsTM0_6,T255,55
O13,OsTM0_6,T256,56
A15,OsTM0_6,T257,57
C15,OsTM0_6,T258,58
E15,OsTM0_6,T259,59
G15,OsTM0_6,T260,60
I15,OsTM0_6,T261,61
K15,OsTM0_6,T262,62
M15,OsTM0_6,T263,63
O15,OsTM0_6,T264,64
A17,OsTM0_6,T265,65
C17,OsTM0_6,T266,66
E17,OsTM0_6,T267,67
G17,OsTM0_6,T268,68
I17,OsTM0_6,T269,69
